#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,   D2control,       noise,     capping,         raw,     control
     1,    0.000099,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
     2,    0.000199,    0.000000,    0.000072,   -0.000001,   -0.000000,   -0.000000,    0.000000,    0.000000,    0.000000,   -0.000017,   -0.000001
     3,    0.000298,    0.000000,    0.000045,   -0.000001,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000055,   -0.000001
     4,    0.000398,    0.000000,    0.000069,   -0.000003,   -0.000000,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000080,   -0.000003
     5,    0.000497,    0.000000,    0.000047,   -0.000002,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000124,   -0.000002
     6,    0.000597,    0.000000,    0.000059,   -0.000004,   -0.000000,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000148,   -0.000004
     7,    0.000696,    0.000000,    0.000040,   -0.000003,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000192,   -0.000003
     8,    0.000796,    0.000000,    0.000045,   -0.000004,   -0.000000,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000213,   -0.000004
     9,    0.000895,    0.000000,    0.000028,   -0.000003,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000252,   -0.000003
    10,    0.000995,    0.000000,    0.000030,   -0.000003,   -0.000000,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000268,   -0.000003
    11,    0.001094,    0.000000,    0.000016,   -0.000002,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000303,   -0.000002
    12,    0.001194,    0.000000,    0.000015,   -0.000002,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000315,   -0.000002
    13,    0.001293,    0.000000,    0.000004,   -0.000001,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000344,   -0.000001
    14,    0.001392,    0.000000,    0.000002,   -0.000000,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000352,   -0.000001
    15,    0.001492,    0.000000,   -0.000007,    0.000001,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000377,    0.000001
    16,    0.001591,    0.000000,   -0.000009,    0.000001,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000382,    0.000001
    17,    0.001691,    0.000000,   -0.000016,    0.000003,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000404,    0.000002
    18,    0.001790,    0.000000,   -0.000018,    0.000003,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000406,    0.000003
    19,    0.001890,    0.000000,   -0.000024,    0.000005,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000425,    0.000004
    20,    0.001989,    0.000000,   -0.000026,    0.000005,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000426,    0.000005
    21,    0.002089,    0.000000,   -0.000030,    0.000006,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000442,    0.000006
    22,    0.002188,    0.000000,   -0.000032,    0.000007,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000442,    0.000007
    23,    0.002288,    0.000000,   -0.000035,    0.000008,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000456,    0.000008
    24,    0.002387,    0.000000,   -0.000037,    0.000009,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000455,    0.000009
    25,    0.002487,    0.000000,   -0.000039,    0.000010,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000468,    0.000010
    26,    0.002586,    0.000000,   -0.000040,    0.000011,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000466,    0.000010
    27,    0.002685,    0.000000,   -0.000043,    0.000011,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000478,    0.000011
    28,    0.002785,    0.000000,   -0.000043,    0.000012,   -0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000475,    0.000012
    29,    0.002884,    0.000000,   -0.000045,    0.000013,   -0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000486,    0.000013
    30,    0.002984,    0.000000,   -0.000046,    0.000014,    0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000483,    0.000014
    31,    0.003083,    0.000000,   -0.000047,    0.000015,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000493,    0.000015
    32,    0.003183,    0.000000,   -0.000048,    0.000015,    0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000490,    0.000015
    33,    0.003282,    0.000000,   -0.000049,    0.000016,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000499,    0.000016
    34,    0.003382,    0.000000,   -0.000049,    0.000017,    0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000495,    0.000017
    35,    0.003481,    0.000000,   -0.000050,    0.000017,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000503,    0.000018
    36,    0.003581,    0.000000,   -0.000050,    0.000018,    0.000000,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000500,    0.000019
    37,    0.003680,    0.000000,   -0.000051,    0.000019,    0.000001,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000507,    0.000019
    38,    0.003780,    0.000000,   -0.000051,    0.000019,    0.000001,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000503,    0.000020
    39,    0.003879,    0.000000,   -0.000051,    0.000020,    0.000001,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000510,    0.000021
    40,    0.003978,    0.000000,   -0.000052,    0.000021,    0.000001,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000506,    0.000021
