#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,   D2control,       noise,     capping,         raw,     control
     0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     1,9.946153e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     2,1.989231e-04,0.000000e+00,2.447646e-08,-4.444165e-10,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.444165e-10,-4.444165e-10
     3,2.983846e-04,0.000000e+00,1.328187e-07,-3.605320e-09,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-3.605320e-09,-3.605320e-09
     4,3.978461e-04,0.000000e+00,3.554856e-07,-1.593580e-08,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.593580e-08,-1.593580e-08
     5,4.973077e-04,0.000000e+00,6.660015e-07,-5.054272e-08,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-5.054272e-08,-5.054272e-08
     6,5.967692e-04,0.000000e+00,1.049488e-06,-1.268481e-07,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.268481e-07,-1.268481e-07
     7,6.962307e-04,0.000000e+00,1.518093e-06,-2.654048e-07,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.654048e-07,-2.654048e-07
     8,7.956922e-04,0.000000e+00,2.056736e-06,-4.811075e-07,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-4.811075e-07,-4.811075e-07
     9,8.951538e-04,0.000000e+00,2.647344e-06,-7.799104e-07,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-7.799104e-07,-7.799104e-07
    10,9.946153e-04,0.000000e+00,3.301594e-06,-1.160172e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.160172e-06,-1.160172e-06
    11,1.094077e-03,0.000000e+00,4.011867e-06,-1.616288e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.616288e-06,-1.616288e-06
    12,1.193538e-03,0.000000e+00,4.757852e-06,-2.141795e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.141795e-06,-2.141795e-06
    13,1.293000e-03,0.000000e+00,5.549416e-06,-2.730453e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.730453e-06,-2.730453e-06
    14,1.392461e-03,0.000000e+00,6.386443e-06,-3.376320e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-3.376320e-06,-3.376320e-06
    15,1.491923e-03,0.000000e+00,7.247544e-06,-4.074051e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-4.074051e-06,-4.074051e-06
    16,1.591384e-03,0.000000e+00,8.137499e-06,-4.818778e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-4.818778e-06,-4.818778e-06
    17,1.690846e-03,0.000000e+00,9.061469e-06,-5.605733e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-5.605733e-06,-5.605733e-06
    18,1.790308e-03,0.000000e+00,9.999384e-06,-6.430448e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-6.430448e-06,-6.430448e-06
    19,1.889769e-03,0.000000e+00,1.095119e-05,-7.288711e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-7.288711e-06,-7.288711e-06
    20,1.989231e-03,0.000000e+00,1.192602e-05,-8.176216e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-8.176216e-06,-8.176216e-06
    21,2.088692e-03,0.000000e+00,1.290603e-05,-9.088793e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-9.088793e-06,-9.088793e-06
    22,2.188154e-03,0.000000e+00,1.388525e-05,-1.002257e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.002257e-05,-1.002257e-05
    23,2.287615e-03,0.000000e+00,1.487505e-05,-1.097358e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.097358e-05,-1.097358e-05
    24,2.387077e-03,0.000000e+00,1.586244e-05,-1.193784e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.193784e-05,-1.193784e-05
    25,2.486538e-03,0.000000e+00,1.683687e-05,-1.291161e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.291161e-05,-1.291161e-05
    26,2.586000e-03,0.000000e+00,1.780933e-05,-1.389109e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.389109e-05,-1.389109e-05
    27,2.685461e-03,0.000000e+00,1.877108e-05,-1.487247e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.487247e-05,-1.487247e-05
    28,2.784923e-03,0.000000e+00,1.970783e-05,-1.970783e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.970783e-05,-1.970783e-05
    29,2.884384e-03,0.000000e+00,2.062911e-05,-2.062911e-05,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.062911e-05,-2.062911e-05
    30,2.983846e-03,0.000000e+00,2.153151e-05,-2.153151e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.153151e-05,-2.153151e-05
    31,3.083307e-03,0.000000e+00,2.239842e-05,-2.239842e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.239842e-05,-2.239842e-05
    32,3.182769e-03,0.000000e+00,2.323590e-05,-2.323590e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.323590e-05,-2.323590e-05
    33,3.282231e-03,0.000000e+00,2.404528e-05,-2.404528e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.404528e-05,-2.404528e-05
    34,3.381692e-03,0.000000e+00,2.481033e-05,-2.481033e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.481033e-05,-2.481033e-05
    35,3.481154e-03,0.000000e+00,2.553449e-05,-2.553449e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.553449e-05,-2.553449e-05
    36,3.580615e-03,0.000000e+00,2.622444e-05,-2.622444e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.622444e-05,-2.622444e-05
    37,3.680077e-03,0.000000e+00,2.686702e-05,-2.686702e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.686702e-05,-2.686702e-05
    38,3.779538e-03,0.000000e+00,2.746403e-05,-2.746403e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.746403e-05,-2.746403e-05
    39,3.879000e-03,0.000000e+00,2.802890e-05,-2.802890e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.802890e-05,-2.802890e-05
    40,3.978461e-03,0.000000e+00,2.855690e-05,-2.855690e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.855690e-05,-2.855690e-05
    41,4.077923e-03,0.000000e+00,2.905187e-05,-2.905187e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.905187e-05,-2.905187e-05
    42,4.177384e-03,0.000000e+00,2.953313e-05,-2.953313e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.953313e-05,-2.953313e-05
    43,4.276846e-03,0.000000e+00,3.000159e-05,-3.000159e-05,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.000159e-05,-3.000159e-05
