#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,   D2control,       noise,     capping,         raw,     control
     0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     1,2.486538e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     2,4.973077e-05,0.000000e+00,2.588310e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.695227e-05,0.000000e+00
     3,7.459615e-05,0.000000e+00,1.248690e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.582386e-04,0.000000e+00
     4,9.946153e-05,0.000000e+00,2.884551e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-5.057134e-04,0.000000e+00
     5,1.243269e-04,0.000000e+00,4.341005e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.022619e-04,0.000000e+00
     6,1.491923e-04,0.000000e+00,4.346004e-11,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.076766e-03,0.000000e+00
     7,1.740577e-04,0.000000e+00,1.281003e-11,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.235316e-03,0.000000e+00
     8,1.989231e-04,0.000000e+00,-6.508448e-11,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.212816e-03,0.000000e+00
     9,2.237884e-04,0.000000e+00,-2.027991e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.016436e-03,0.000000e+00
    10,2.486538e-04,0.000000e+00,-4.051099e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.368892e-04,0.000000e+00
    11,2.735192e-04,0.000000e+00,-6.675059e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.172248e-04,0.000000e+00
    12,2.983846e-04,0.000000e+00,-9.798239e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.902323e-04,0.000000e+00
    13,3.232500e-04,0.000000e+00,-1.333756e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.097021e-04,0.000000e+00
    14,3.481154e-04,0.000000e+00,-1.729482e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.112237e-03,0.000000e+00
    15,3.729807e-04,0.000000e+00,-2.179309e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.531088e-03,0.000000e+00
    16,3.978461e-04,0.000000e+00,-2.705029e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.765043e-03,0.000000e+00
    17,4.227115e-04,0.000000e+00,-3.330689e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.674829e-03,0.000000e+00
    18,4.475769e-04,0.000000e+00,-4.073074e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.262858e-03,0.000000e+00
    19,4.724423e-04,0.000000e+00,-4.933291e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.939732e-04,0.000000e+00
    20,4.973077e-04,0.000000e+00,-5.896205e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.368935e-04,0.000000e+00
