#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,   D2control,       noise,     capping,         raw,     control
     0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     1,1.808391e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
     2,3.616783e-04,0.000000e+00,1.196807e-03,-1.083080e-07,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.173566e-08,-1.083080e-07
     3,5.425174e-04,0.000000e+00,3.613573e-03,-9.276525e-07,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-3.053150e-07,-9.276525e-07
     4,7.233566e-04,0.000000e+00,5.402696e-03,-4.205850e-06,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.422095e-06,-4.205850e-06
     5,9.041957e-04,0.000000e+00,6.864162e-03,-1.332690e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-9.789145e-06,-1.332690e-05
     6,1.085035e-03,0.000000e+00,8.331861e-03,-3.196806e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.623785e-05,-3.196806e-05
     7,1.265874e-03,0.000000e+00,9.211617e-03,-6.186694e-05,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-5.418261e-05,-6.186694e-05
     8,1.446713e-03,0.000000e+00,1.012771e-02,-1.018343e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.308631e-05,-1.018343e-04
     9,1.627552e-03,0.000000e+00,1.074732e-02,-1.481305e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.396733e-04,-1.481305e-04
    10,1.808391e-03,0.000000e+00,1.098989e-02,-1.970989e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.907170e-04,-1.970989e-04
    11,1.989231e-03,0.000000e+00,1.130195e-02,-2.239201e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.217808e-04,-2.239201e-04
    12,2.170070e-03,0.000000e+00,1.112504e-02,-2.446403e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.478344e-04,-2.446403e-04
    13,2.350909e-03,0.000000e+00,1.098694e-02,-2.596897e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.690950e-04,-2.596897e-04
    14,2.531748e-03,0.000000e+00,1.074837e-02,-2.693787e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.856073e-04,-2.693787e-04
    15,2.712587e-03,0.000000e+00,1.015349e-02,-2.739070e-04,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.970444e-04,-2.739070e-04
    16,2.893426e-03,0.000000e+00,9.749926e-03,-2.740310e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.038050e-04,-2.740310e-04
    17,3.074265e-03,0.000000e+00,8.993275e-03,-2.700762e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.056829e-04,-2.700762e-04
    18,3.255105e-03,0.000000e+00,8.200660e-03,-2.625431e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.027173e-04,-2.625431e-04
    19,3.435944e-03,0.000000e+00,7.453263e-03,-2.518794e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.960510e-04,-2.518794e-04
    20,3.616783e-03,0.000000e+00,6.401060e-03,-2.381386e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.870420e-04,-2.381386e-04
    21,3.797622e-03,0.000000e+00,5.633541e-03,-2.218528e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.761421e-04,-2.218528e-04
    22,3.978461e-03,0.000000e+00,4.786968e-03,-2.033315e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.624005e-04,-2.033315e-04
    23,4.159300e-03,0.000000e+00,4.108078e-03,-1.832324e-04,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.460724e-04,-1.832324e-04
    24,4.340140e-03,0.000000e+00,3.915293e-03,-1.627508e-04,-0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.295305e-04,-1.627508e-04
    25,4.520979e-03,0.000000e+00,3.781957e-03,-1.430680e-04,-0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-2.138808e-04,-1.430680e-04
    26,4.701818e-03,0.000000e+00,4.184341e-03,-1.260706e-04,-0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-1.988254e-04,-1.260706e-04
