#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000094,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
     2,    0.000188,    0.000000,    0.000290,   -0.000871,   -0.000001,   -0.000000,    0.000000,    0.000000,   -0.000871,   -0.000871
     3,    0.000283,    0.000000,    0.000018,   -0.000053,   -0.000001,    0.000000,    0.000000,    0.000000,   -0.000053,   -0.000053
     4,    0.000377,    0.000000,    0.000322,   -0.000967,   -0.000001,   -0.000000,    0.000000,    0.000000,   -0.000969,   -0.000969
     5,    0.000471,    0.000000,    0.000024,   -0.000072,   -0.000001,    0.000000,    0.000000,    0.000000,   -0.000073,   -0.000073
     6,    0.000565,    0.000000,    0.000353,   -0.001059,   -0.000002,   -0.000000,    0.000000,    0.000000,   -0.001061,   -0.001061
     7,    0.000660,    0.000000,    0.000030,   -0.000089,   -0.000002,    0.000000,    0.000000,    0.000000,   -0.000091,   -0.000091
     8,    0.000754,    0.000000,    0.000386,   -0.001157,   -0.000003,   -0.000000,    0.000000,    0.000000,   -0.001160,   -0.001160
     9,    0.000848,    0.000000,    0.000035,   -0.000106,   -0.000003,    0.000000,    0.000000,    0.000000,   -0.000109,   -0.000109
    10,    0.000942,    0.000000,    0.000421,   -0.001263,   -0.000004,   -0.000000,    0.000000,    0.000000,   -0.001266,   -0.001266
    11,    0.001036,    0.000000,    0.000041,   -0.000123,   -0.000004,    0.000000,    0.000000,    0.000000,   -0.000126,   -0.000126
    12,    0.001131,    0.000000,    0.000458,   -0.001374,   -0.000004,   -0.000000,    0.000000,    0.000000,   -0.001379,   -0.001379
    13,    0.001225,    0.000000,    0.000046,   -0.000137,   -0.000005,    0.000000,    0.000000,    0.000000,   -0.000142,   -0.000142
    14,    0.001319,    0.000000,    0.000497,   -0.001491,   -0.000006,   -0.000000,    0.000000,    0.000000,   -0.001496,   -0.001496
    15,    0.001413,    0.000000,    0.000049,   -0.000148,   -0.000006,    0.000000,    0.000000,    0.000000,   -0.000154,   -0.000154
    16,    0.001508,    0.000000,    0.000537,   -0.001610,   -0.000007,   -0.000000,    0.000000,    0.000000,   -0.001617,   -0.001617
    17,    0.001602,    0.000000,    0.000051,   -0.000152,   -0.000007,    0.000000,    0.000000,    0.000000,   -0.000158,   -0.000158
    18,    0.001696,    0.000000,    0.000577,   -0.001731,   -0.000008,   -0.000000,    0.000000,    0.000000,   -0.001739,   -0.001739
    19,    0.001790,    0.000000,    0.000048,   -0.000145,   -0.000008,    0.000000,    0.000000,    0.000000,   -0.000153,   -0.000153
    20,    0.001885,    0.000000,    0.000617,   -0.001851,   -0.000009,   -0.000000,    0.000000,    0.000000,   -0.001860,   -0.001860
    21,    0.001979,    0.000000,    0.000042,   -0.000126,   -0.000009,    0.000000,    0.000000,    0.000000,   -0.000135,   -0.000135
    22,    0.002073,    0.000000,    0.000656,   -0.001969,   -0.000010,   -0.000000,    0.000000,    0.000000,   -0.001979,   -0.001979
    23,    0.002167,    0.000000,    0.000032,   -0.000095,   -0.000010,    0.000000,    0.000000,    0.000000,   -0.000106,   -0.000106
    24,    0.002261,    0.000000,    0.000696,   -0.002088,   -0.000012,   -0.000000,    0.000000,    0.000000,   -0.002100,   -0.002100
    25,    0.002356,    0.000000,    0.000019,   -0.000056,   -0.000012,    0.000000,    0.000000,    0.000000,   -0.000068,   -0.000068
    26,    0.002450,    0.000000,    0.000737,   -0.002212,   -0.000013,   -0.000000,    0.000000,    0.000000,   -0.002225,   -0.002225
    27,    0.002544,    0.000000,    0.000003,   -0.000010,   -0.000013,    0.000000,    0.000000,    0.000000,   -0.000023,   -0.000023
    28,    0.002638,    0.000000,    0.000782,   -0.002345,   -0.000015,   -0.000000,    0.000000,    0.000000,   -0.002359,   -0.002359
    29,    0.002733,    0.000000,   -0.000014,    0.000041,   -0.000015,    0.000000,    0.000000,    0.000000,    0.000027,    0.000027
    30,    0.002827,    0.000000,    0.000830,   -0.002489,   -0.000016,   -0.000000,    0.000000,    0.000000,   -0.002505,   -0.002505
    31,    0.002921,    0.000000,   -0.000032,    0.000095,   -0.000016,    0.000000,    0.000000,    0.000000,    0.000079,    0.000079
    32,    0.003015,    0.000000,    0.000883,   -0.002648,   -0.000018,   -0.000000,    0.000000,    0.000000,   -0.002666,   -0.002666
    33,    0.003109,    0.000000,   -0.000050,    0.000149,   -0.000018,    0.000000,    0.000000,    0.000000,    0.000131,    0.000131
