|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   5.835049   |  193.474203  |  30.806377   |  30.792376   |  -0.030146   |   0.032476   |
|      1       |   5.835049   | -193.474203  |  30.806377   |  30.792376   |  -0.030146   |   0.032476   |
|      2       |  -0.067362   |  713.161873  |  113.503238  |  113.503237  |   0.000094   |   0.008810   |
|      3       |  -0.067362   | -713.161873  |  113.503238  |  113.503237  |   0.000094   |   0.008810   |
|      4       |  -7.151777   |   0.000000   |   1.138241   |   0.000000   |   1.000000   |     inf      |
|      5       |  -7.832185   | -1718.063746 |  273.441179  |  273.438338  |   0.004559   |   0.003657   |
|      6       |  -7.832185   | 1718.063746  |  273.441179  |  273.438338  |   0.004559   |   0.003657   |
|      7       |  -9.030256   | -1043.715740 |  166.118737  |  166.112519  |   0.008652   |   0.006020   |
|      8       |  -9.030256   | 1043.715740  |  166.118737  |  166.112519  |   0.008652   |   0.006020   |
|      9       |  -11.701565  |  529.799680  |  84.340802   |  84.320238   |   0.022081   |   0.011860   |
|      10      |  -11.701565  | -529.799680  |  84.340802   |  84.320238   |   0.022081   |   0.011860   |
|      11      |  -18.947266  |  137.182840  |  22.040593   |  21.833327   |   0.136818   |   0.045802   |
|      12      |  -18.947266  | -137.182840  |  22.040593   |  21.833327   |   0.136818   |   0.045802   |
|      13      |  -24.254184  |  955.396725  |  152.105102  |  152.056111  |   0.025378   |   0.006577   |
|      14      |  -24.254184  | -955.396725  |  152.105102  |  152.056111  |   0.025378   |   0.006577   |
|      15      | -104.321895  |   0.000000   |  16.603345   |   0.000000   |   1.000000   |     inf      |
|      16      | -168.078147  |  -0.000000   |  26.750468   |   0.000000   |   1.000000   |     inf      |
|      17      | -283.237358  |  308.989296  |  66.711895   |  49.177174   |   0.675721   |   0.020335   |
|      18      | -283.237358  | -308.989296  |  66.711895   |  49.177174   |   0.675721   |   0.020335   |
|      19      | -307.607737  |  -0.000000   |  48.957292   |   0.000000   |   1.000000   |     inf      |
|      20      | -308.155933  |  126.656240  |  53.025565   |  20.157967   |   0.924923   |   0.049608   |
|      21      | -308.155933  | -126.656240  |  53.025565   |  20.157967   |   0.924923   |   0.049608   |
|      22      | -373.676779  |  -0.000000   |  59.472507   |   0.000000   |   1.000000   |     inf      |
|      23      | -447.002484  |  336.100068  |  89.009382   |  53.491987   |   0.799271   |   0.018694   |
|      24      | -447.002484  | -336.100068  |  89.009382   |  53.491987   |   0.799271   |   0.018694   |
|      25      | -599.577864  |   0.000000   |  95.425781   |   0.000000   |   1.000000   |     inf      |
|      26      | -828.222655  |  -0.000000   |  131.815730  |   0.000000   |   1.000000   |     inf      |
|      27      | -929.358573  |  -0.000000   |  147.912011  |   0.000000   |   1.000000   |     inf      |
|      28      | -1217.050782 |  -0.000000   |  193.699648  |   0.000000   |   1.000000   |     inf      |
|      29      | -1283.125462 |   0.000000   |  204.215760  |   0.000000   |   1.000000   |     inf      |
|      30      | -1501.703932 |  -0.000000   |  239.003604  |   0.000000   |   1.000000   |     inf      |
|      31      | -1566.467302 |   0.000000   |  249.311014  |   0.000000   |   1.000000   |     inf      |
|      32      | -1771.506454 |   0.000000   |  281.944009  |   0.000000   |   1.000000   |     inf      |
|      33      | -2290.224976 |  -0.000000   |  364.500626  |   0.000000   |   1.000000   |     inf      |
|      34      | -2850.071049 |   0.000000   |  453.602896  |   0.000000   |   1.000000   |     inf      |
|      35      | -3492.035014 |  -0.000000   |  555.774634  |   0.000000   |   1.000000   |     inf      |
|      36      | -4393.305090 |  -0.000000   |  699.216222  |   0.000000   |   1.000000   |     inf      |
|      37      | -4725.729978 |   0.000000   |  752.123286  |   0.000000   |   1.000000   |     inf      |
|      38      | -6020.843778 |  -0.000000   |  958.247049  |   0.000000   |   1.000000   |     inf      |
|      39      | -6854.200803 |   0.000000   | 1090.879939  |   0.000000   |   1.000000   |     inf      |
|      40      | -9622.320265 |   0.000000   | 1531.439834  |   0.000000   |   1.000000   |     inf      |
|      41      |-21904.544858 |-42069.504745 | 7548.798503  | 6695.569634  |   0.461824   |   0.000149   |
|      42      |-21904.544858 | 42069.504745 | 7548.798503  | 6695.569634  |   0.461824   |   0.000149   |
|      43      |-22393.086859 |-43228.314913 | 7748.308556  | 6880.000000  |   0.459968   |   0.000145   |
|      44      |-22474.342423 |   0.000000   | 3576.902689  |   0.000000   |   1.000000   |     inf      |
|      45      |-23669.186303 |-32399.448817 | 6385.971190  | 5156.532433  |   0.589897   |   0.000194   |
|      46      |-23669.186303 | 32399.448817 | 6385.971190  | 5156.532433  |   0.589897   |   0.000194   |
|      47      |-26096.347707 |   0.000000   | 4153.362734  |   0.000000   |   1.000000   |     inf      |
