|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  28.326500   |   4.508302   |   4.508302   |  -0.000000   |   0.221813   |
|      1       |   0.000000   |  28.341029   |   4.510615   |   4.510615   |  -0.000000   |   0.221699   |
|      2       |   0.000000   |  189.737584  |  30.197674   |  30.197674   |  -0.000000   |   0.033115   |
|      3       |   0.000000   |  189.753126  |  30.200148   |  30.200148   |  -0.000000   |   0.033112   |
|      4       |   0.000000   |  235.086761  |  37.415220   |  37.415220   |  -0.000000   |   0.026727   |
|      5       |   0.000000   |  235.157241  |  37.426437   |  37.426437   |  -0.000000   |   0.026719   |
|      6       |   0.000000   |  447.627088  |  71.242064   |  71.242064   |  -0.000000   |   0.014037   |
|      7       |   0.000000   |  447.628933  |  71.242357   |  71.242357   |  -0.000000   |   0.014037   |
|      8       |   0.000000   |  549.663841  |  87.481717   |  87.481717   |  -0.000000   |   0.011431   |
|      9       |   0.000000   |  549.677865  |  87.483949   |  87.483949   |  -0.000000   |   0.011431   |
|      10      |   0.000000   | 1087.891295  |  173.143277  |  173.143277  |  -0.000000   |   0.005776   |
|      11      |   0.000000   | 1087.904042  |  173.145306  |  173.145306  |  -0.000000   |   0.005775   |
|      12      |   0.000000   | 1324.661804  |  210.826474  |  210.826474  |  -0.000000   |   0.004743   |
|      13      |   0.000000   | 1324.662050  |  210.826513  |  210.826513  |  -0.000000   |   0.004743   |
|      14      |   0.000000   | 1797.589318  |  286.095226  |  286.095226  |  -0.000000   |   0.003495   |
|      15      |   0.000000   | 1797.602067  |  286.097255  |  286.097255  |  -0.000000   |   0.003495   |
|      16      |   0.000000   | 2274.959935  |  362.071119  |  362.071119  |  -0.000000   |   0.002762   |
|      17      |   0.000000   | 2274.962636  |  362.071549  |  362.071549  |  -0.000000   |   0.002762   |
|      18      |   0.000000   | 2661.995249  |  423.669702  |  423.669702  |  -0.000000   |   0.002360   |
|      19      |   0.000000   | 2662.009107  |  423.671908  |  423.671908  |  -0.000000   |   0.002360   |
|==============|==============|==============|==============|==============|==============|==============|
